Organisation,Date,Meeting,RawName,CleanName,VideoLink,CouncillorOrg
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins ",Schollum,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins ",Travers,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins ",Watkins,,HDC
Hastings District Council,12/03/2019,Council,Mayor Hazlehurst (Chair),Hazlehurst,,HDC
Hastings District Council,12/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Barber,,HDC
Hastings District Council,12/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Dixon,,HDC
Hastings District Council,12/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Harvey,,HDC
Hastings District Council,12/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Heaps,,HDC
Hastings District Council,12/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Kerr,,HDC
Hastings District Council,12/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Lawson,,HDC
Hastings District Council,12/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Nixon,,HDC
Hastings District Council,12/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",O’Keefe,,HDC
Hastings District Council,12/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Poulain,,HDC
Hastings District Council,12/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Redstone,,HDC
Hastings District Council,12/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Schollum,,HDC
Hastings District Council,12/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Travers,,HDC
Hastings District Council,12/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Watkins,,HDC
Hastings District Council,06/03/2019,HDC - Māori Joint Committee,Chair: Mr Robin Hape,,,
Hastings District Council,06/03/2019,HDC - Māori Joint Committee,"                                               Councillors Travers, Barber, (Deputy Chair) and Poulain",Travers,,HDC
Hastings District Council,06/03/2019,HDC - Māori Joint Committee,"                                               Councillors Travers, Barber, (Deputy Chair) and Poulain",Barber,,HDC
Hastings District Council,06/03/2019,HDC - Māori Joint Committee,"                                               Councillors Travers, Barber, (Deputy Chair) and Poulain",Poulain,,HDC
Hastings District Council,06/03/2019,HDC - Māori Joint Committee Supplementary,,,,
Hastings District Council,05/03/2019,Council,"Mayor Hazlehurst (Chair)Councillors Barber, Dixon, Harvey, Heaps, Kerr, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Hazlehurst,,HDC
Hastings District Council,05/03/2019,Council,"Mayor Hazlehurst (Chair)Councillors Barber, Dixon, Harvey, Heaps, Kerr, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Barber,,HDC
Hastings District Council,05/03/2019,Council,"Mayor Hazlehurst (Chair)Councillors Barber, Dixon, Harvey, Heaps, Kerr, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Dixon,,HDC
Hastings District Council,05/03/2019,Council,"Mayor Hazlehurst (Chair)Councillors Barber, Dixon, Harvey, Heaps, Kerr, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Harvey,,HDC
Hastings District Council,05/03/2019,Council,"Mayor Hazlehurst (Chair)Councillors Barber, Dixon, Harvey, Heaps, Kerr, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Heaps,,HDC
Hastings District Council,05/03/2019,Council,"Mayor Hazlehurst (Chair)Councillors Barber, Dixon, Harvey, Heaps, Kerr, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Kerr,,HDC
Hastings District Council,05/03/2019,Council,"Mayor Hazlehurst (Chair)Councillors Barber, Dixon, Harvey, Heaps, Kerr, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Nixon,,HDC
Hastings District Council,05/03/2019,Council,"Mayor Hazlehurst (Chair)Councillors Barber, Dixon, Harvey, Heaps, Kerr, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",O’Keefe,,HDC
Hastings District Council,05/03/2019,Council,"Mayor Hazlehurst (Chair)Councillors Barber, Dixon, Harvey, Heaps, Kerr, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Poulain,,HDC
Hastings District Council,05/03/2019,Council,"Mayor Hazlehurst (Chair)Councillors Barber, Dixon, Harvey, Heaps, Kerr, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Redstone,,HDC
Hastings District Council,05/03/2019,Council,"Mayor Hazlehurst (Chair)Councillors Barber, Dixon, Harvey, Heaps, Kerr, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Schollum,,HDC
Hastings District Council,05/03/2019,Council,"Mayor Hazlehurst (Chair)Councillors Barber, Dixon, Harvey, Heaps, Kerr, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Travers,,HDC
Hastings District Council,05/03/2019,Council,"Mayor Hazlehurst (Chair)Councillors Barber, Dixon, Harvey, Heaps, Kerr, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Watkins,,HDC
Hastings District Council,04/03/2019,Hastings District Rural Community Board,Councillor Kerr  ,Kerr,,HDC
Hastings District Council,04/03/2019,Hastings District Rural Community Board Supplementary,,,,
Hastings District Council,28/02/2019,Temporary Road Closures Subcommittee,Councillor Nixon (Chair),Nixon,,HDC
Hastings District Council,28/02/2019,Temporary Road Closures Subcommittee,Councillor Watkins (Deputy Chair),Watkins,,HDC
Hastings District Council,28/02/2019,Tenders Subcommittee,Councillor Travers (Chair),Travers,,HDC
Hastings District Council,28/02/2019,Tenders Subcommittee,"Councillors Lawson, Nixon and Watkins (Deputy Chair)",Lawson,,HDC
Hastings District Council,28/02/2019,Tenders Subcommittee,"Councillors Lawson, Nixon and Watkins (Deputy Chair)",Nixon,,HDC
Hastings District Council,28/02/2019,Tenders Subcommittee,"Councillors Lawson, Nixon and Watkins (Deputy Chair)",Watkins,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,Chair: Councillor Watkins ,Watkins,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,Mayor Hazlehurst,Hazlehurst,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,"Councillors Barber, Dixon, Harvey, Heaps (Deputy Chair), Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and Travers",Barber,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,"Councillors Barber, Dixon, Harvey, Heaps (Deputy Chair), Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and Travers",Dixon,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,"Councillors Barber, Dixon, Harvey, Heaps (Deputy Chair), Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and Travers",Harvey,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,"Councillors Barber, Dixon, Harvey, Heaps (Deputy Chair), Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and Travers",Heaps,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,"Councillors Barber, Dixon, Harvey, Heaps (Deputy Chair), Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and Travers",Kerr,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,"Councillors Barber, Dixon, Harvey, Heaps (Deputy Chair), Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and Travers",Lawson,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,"Councillors Barber, Dixon, Harvey, Heaps (Deputy Chair), Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and Travers",Lyons,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,"Councillors Barber, Dixon, Harvey, Heaps (Deputy Chair), Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and Travers",Nixon,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,"Councillors Barber, Dixon, Harvey, Heaps (Deputy Chair), Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and Travers",O’Keefe,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,"Councillors Barber, Dixon, Harvey, Heaps (Deputy Chair), Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and Travers",Poulain,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,"Councillors Barber, Dixon, Harvey, Heaps (Deputy Chair), Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and Travers",Redstone,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,"Councillors Barber, Dixon, Harvey, Heaps (Deputy Chair), Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and Travers",Schollum,,HDC
Hastings District Council,28/02/2019,Works and Services Committee,"Councillors Barber, Dixon, Harvey, Heaps (Deputy Chair), Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum and Travers",Travers,,HDC
Hastings District Council,26/02/2019,Community Development Committee,Chair: Councillor Dixon ,Dixon,,HDC
Hastings District Council,26/02/2019,Community Development Committee,Mayor Hazlehurst ,Hazlehurst,,HDC
Hastings District Council,26/02/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins",Barber,,HDC
Hastings District Council,26/02/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins",Harvey,,HDC
Hastings District Council,26/02/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins",Heaps,,HDC
Hastings District Council,26/02/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins",Lawson,,HDC
Hastings District Council,26/02/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins",Lyons,,HDC
Hastings District Council,26/02/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins",Nixon,,HDC
Hastings District Council,26/02/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins",O’Keefe,,HDC
Hastings District Council,26/02/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins",Poulain,,HDC
Hastings District Council,26/02/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins",Redstone,,HDC
Hastings District Council,26/02/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins",Schollum,,HDC
Hastings District Council,26/02/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins",Travers,,HDC
Hastings District Council,26/02/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins",Watkins,,HDC
Hastings District Council,21/02/2019,Council,Mayor Hazlehurst (Chair),Hazlehurst,,HDC
Hastings District Council,21/02/2019,Council,"Councillors Barber, Dixon, Harvey, Lawson, Lyons, Nixon, O’Keefe, Poulain, Schollum, Travers and Watkins.",Barber,,HDC
Hastings District Council,21/02/2019,Council,"Councillors Barber, Dixon, Harvey, Lawson, Lyons, Nixon, O’Keefe, Poulain, Schollum, Travers and Watkins.",Dixon,,HDC
Hastings District Council,21/02/2019,Council,"Councillors Barber, Dixon, Harvey, Lawson, Lyons, Nixon, O’Keefe, Poulain, Schollum, Travers and Watkins.",Harvey,,HDC
Hastings District Council,21/02/2019,Council,"Councillors Barber, Dixon, Harvey, Lawson, Lyons, Nixon, O’Keefe, Poulain, Schollum, Travers and Watkins.",Lawson,,HDC
Hastings District Council,21/02/2019,Council,"Councillors Barber, Dixon, Harvey, Lawson, Lyons, Nixon, O’Keefe, Poulain, Schollum, Travers and Watkins.",Lyons,,HDC
Hastings District Council,21/02/2019,Council,"Councillors Barber, Dixon, Harvey, Lawson, Lyons, Nixon, O’Keefe, Poulain, Schollum, Travers and Watkins.",Nixon,,HDC
Hastings District Council,21/02/2019,Council,"Councillors Barber, Dixon, Harvey, Lawson, Lyons, Nixon, O’Keefe, Poulain, Schollum, Travers and Watkins.",O’Keefe,,HDC
Hastings District Council,21/02/2019,Council,"Councillors Barber, Dixon, Harvey, Lawson, Lyons, Nixon, O’Keefe, Poulain, Schollum, Travers and Watkins.",Poulain,,HDC
Hastings District Council,21/02/2019,Council,"Councillors Barber, Dixon, Harvey, Lawson, Lyons, Nixon, O’Keefe, Poulain, Schollum, Travers and Watkins.",Schollum,,HDC
Hastings District Council,21/02/2019,Council,"Councillors Barber, Dixon, Harvey, Lawson, Lyons, Nixon, O’Keefe, Poulain, Schollum, Travers and Watkins.",Travers,,HDC
Hastings District Council,21/02/2019,Council,"Councillors Barber, Dixon, Harvey, Lawson, Lyons, Nixon, O’Keefe, Poulain, Schollum, Travers and Watkins.",Watkins,,HDC
Hastings District Council,19/02/2019,Commissioner Hearing,,,,
Hastings District Council,19/02/2019,Commissioner Hearing,,,,
Hastings District Council,19/02/2019,Commissioner Hearing,,,,
Hastings District Council,19/02/2019,Commissioner Hearing,,,,
Hastings District Council,19/02/2019,Opera House & Arts Precinct Subcommittee,,,,
Hastings District Council,18/02/2019,Risk and Audit Subcommittee,Mayor Hazlehurst,Hazlehurst,,HDC
Hastings District Council,18/02/2019,Risk and Audit Subcommittee,Councillors Nixon and Travers ,Nixon,,HDC
Hastings District Council,18/02/2019,Risk and Audit Subcommittee,Councillors Nixon and Travers ,Travers,,HDC
Hastings District Council,15/02/2019,Tenders Subcommittee,Councillor Travers (Chair),Travers,,HDC
Hastings District Council,15/02/2019,Tenders Subcommittee,"Councillors Lawson, Nixon, Redstone and Watkins (Deputy Chair)",Lawson,,HDC
Hastings District Council,15/02/2019,Tenders Subcommittee,"Councillors Lawson, Nixon, Redstone and Watkins (Deputy Chair)",Nixon,,HDC
Hastings District Council,15/02/2019,Tenders Subcommittee,"Councillors Lawson, Nixon, Redstone and Watkins (Deputy Chair)",Redstone,,HDC
Hastings District Council,15/02/2019,Tenders Subcommittee,"Councillors Lawson, Nixon, Redstone and Watkins (Deputy Chair)",Watkins,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,Mayor Hazlehurst (Chair),Hazlehurst,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,"Councillors Barber, Dixon, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, and Watkins.",Barber,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,"Councillors Barber, Dixon, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, and Watkins.",Dixon,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,"Councillors Barber, Dixon, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, and Watkins.",Heaps,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,"Councillors Barber, Dixon, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, and Watkins.",Kerr,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,"Councillors Barber, Dixon, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, and Watkins.",Lawson,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,"Councillors Barber, Dixon, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, and Watkins.",Nixon,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,"Councillors Barber, Dixon, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, and Watkins.",O’Keefe,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,"Councillors Barber, Dixon, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, and Watkins.",Poulain,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,"Councillors Barber, Dixon, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, and Watkins.",Redstone,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,"Councillors Barber, Dixon, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, and Watkins.",Schollum,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,"Councillors Barber, Dixon, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, and Watkins.",Watkins,,HDC
Hastings District Council,11/02/2019,Commissioner Hearing,,,,
Hastings District Council,11/02/2019,Commissioner Hearing,,,,
Hastings District Council,31/01/2019,Council,Mayor Hazlehurst (Chair),Hazlehurst,,HDC
Hastings District Council,31/01/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, Poulain, Redstone, Schollum, Travers and Watkins.",Barber,,HDC
Hastings District Council,31/01/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, Poulain, Redstone, Schollum, Travers and Watkins.",Dixon,,HDC
Hastings District Council,31/01/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, Poulain, Redstone, Schollum, Travers and Watkins.",Harvey,,HDC
Hastings District Council,31/01/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, Poulain, Redstone, Schollum, Travers and Watkins.",Heaps,,HDC
Hastings District Council,31/01/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, Poulain, Redstone, Schollum, Travers and Watkins.",Kerr,,HDC
Hastings District Council,31/01/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, Poulain, Redstone, Schollum, Travers and Watkins.",Lawson,,HDC
Hastings District Council,31/01/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, Poulain, Redstone, Schollum, Travers and Watkins.",Lyons,,HDC
Hastings District Council,31/01/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, Poulain, Redstone, Schollum, Travers and Watkins.",Nixon,,HDC
Hastings District Council,31/01/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, Poulain, Redstone, Schollum, Travers and Watkins.",Poulain,,HDC
Hastings District Council,31/01/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, Poulain, Redstone, Schollum, Travers and Watkins.",Redstone,,HDC
Hastings District Council,31/01/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, Poulain, Redstone, Schollum, Travers and Watkins.",Schollum,,HDC
Hastings District Council,31/01/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, Poulain, Redstone, Schollum, Travers and Watkins.",Travers,,HDC
Hastings District Council,31/01/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, Poulain, Redstone, Schollum, Travers and Watkins.",Watkins,,HDC
Hastings District Council,31/01/2019,Temporary Road Closures Subcommittee,Councillor Nixon (Chair)Councillor Watkins (Deputy Chair),Watkins,,HDC
Hastings District Council,31/01/2019,Temporary Road Closures Subcommittee,Councillor Nixon (Chair)Councillor Watkins (Deputy Chair),Nixon,,HDC
Hastings District Council,22/01/2019,Commissioner Hearing,,,,
Hastings District Council,22/01/2019,Tenders Subcommittee,Councillor Travers (Chair),Travers,,HDC
Hastings District Council,22/01/2019,Tenders Subcommittee,Councillors Redstone and Watkins (Deputy Chair),Watkins,,HDC
Hastings District Council,22/01/2019,Tenders Subcommittee,Councillors Redstone and Watkins (Deputy Chair),Redstone,,HDC
