Organisation,Date,Meeting,,CleanName,VideoLink,CouncillorOrg
Hastings District Council,19/02/2019,Commissioner Hearing,,,,
Hastings District Council,19/02/2019,Commissioner Hearing,,,,
Hastings District Council,19/02/2019,Commissioner Hearing,,,,
Hastings District Council,19/02/2019,Commissioner Hearing,,,,
Hastings District Council,19/02/2019,Opera House & Arts Precinct Subcommittee,,,,
Hastings District Council,18/02/2019,Risk and Audit Subcommittee,,Hazlehurst,,HDC
Hastings District Council,18/02/2019,Risk and Audit Subcommittee,,Nixon,,HDC
Hastings District Council,18/02/2019,Risk and Audit Subcommittee,,Travers,,HDC
Hastings District Council,15/02/2019,Tenders Subcommittee,,Travers,,HDC
Hastings District Council,15/02/2019,Tenders Subcommittee,,Lawson,,HDC
Hastings District Council,15/02/2019,Tenders Subcommittee,,Nixon,,HDC
Hastings District Council,15/02/2019,Tenders Subcommittee,,Redstone,,HDC
Hastings District Council,15/02/2019,Tenders Subcommittee,,Watkins,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,,Hazlehurst,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,,Barber,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,,Dixon,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,,Heaps,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,,Kerr,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,,Lawson,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,,Nixon,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,,O’Keefe,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,,Poulain,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,,Redstone,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,,Schollum,,HDC
Hastings District Council,13/02/2019,Council - Extraordinary,,Watkins,,HDC
Hastings District Council,11/02/2019,Commissioner Hearing,,,,
Hastings District Council,11/02/2019,Commissioner Hearing,,,,
Hastings District Council,31/01/2019,Council,,Hazlehurst,,HDC
Hastings District Council,31/01/2019,Council,,Barber,,HDC
Hastings District Council,31/01/2019,Council,,Dixon,,HDC
Hastings District Council,31/01/2019,Council,,Harvey,,HDC
Hastings District Council,31/01/2019,Council,,Heaps,,HDC
Hastings District Council,31/01/2019,Council,,Kerr,,HDC
Hastings District Council,31/01/2019,Council,,Lawson,,HDC
Hastings District Council,31/01/2019,Council,,Lyons,,HDC
Hastings District Council,31/01/2019,Council,,Nixon,,HDC
Hastings District Council,31/01/2019,Council,,Poulain,,HDC
Hastings District Council,31/01/2019,Council,,Redstone,,HDC
Hastings District Council,31/01/2019,Council,,Schollum,,HDC
Hastings District Council,31/01/2019,Council,,Travers,,HDC
Hastings District Council,31/01/2019,Council,,Watkins,,HDC
Hastings District Council,31/01/2019,Temporary Road Closures Subcommittee,,Watkins,,HDC
Hastings District Council,31/01/2019,Temporary Road Closures Subcommittee,,Nixon,,HDC
Hastings District Council,22/01/2019,Commissioner Hearing,,,,
Hastings District Council,22/01/2019,Tenders Subcommittee,,Travers,,HDC
Hastings District Council,22/01/2019,Tenders Subcommittee,,Watkins,,HDC
Hastings District Council,22/01/2019,Tenders Subcommittee,,Redstone,,HDC
